date,weighted_score,simple_score,resistance_count,support_count,no_touch_count,total_stocks,total_weight
2025-01-02,-12.87,-12.27,76,261,659,996,101.21
2025-01-03,-12.58,-12.25,104,292,600,997,101.26
2025-01-06,-12.22,-11.67,101,276,619,997,101.26
2025-01-07,-8.97,-9.4,84,223,689,997,101.26
2025-01-08,-9.93,-11.04,104,269,623,997,101.26
2025-01-09,-1.87,-2.96,121,166,709,997,101.26
2025-01-10,-0.59,-3.58,142,196,658,998,101.29
2025-01-13,-12.35,-14.44,100,312,584,998,101.29
2025-01-14,-4.99,-5.58,107,185,704,998,101.29
2025-01-15,2.99,1.82,119,91,786,998,101.29
2025-01-16,5.96,4.04,135,75,786,998,101.29
2025-01-17,1.64,0.98,89,75,832,998,101.29
2025-01-20,7.55,5.98,127,39,830,998,101.29
2025-01-21,3.7,2.68,102,66,828,998,101.29
2025-01-22,-0.53,-2.02,70,104,822,998,101.29
2025-01-23,6.8,4.85,122,57,817,1000,101.35
2025-01-24,0.05,-0.18,80,88,828,1000,101.35
2025-01-27,4.72,3.72,105,55,836,1000,101.35
2025-02-05,1.78,1.33,78,61,857,1000,101.35
2025-02-06,4.37,2.95,103,63,830,1000,101.35
2025-02-07,10.42,8.79,159,38,799,1000,101.35
2025-02-10,8.49,6.94,134,38,825,1000,101.35
2025-02-11,5.93,5.26,117,47,833,1000,101.35
2025-02-12,3.44,3.4,99,57,841,1000,101.35
2025-02-13,7.44,6.28,118,39,840,1000,101.35
2025-02-14,4.95,4.17,102,53,844,1000,101.35
2025-02-17,2.72,2.82,96,58,846,1000,101.35
2025-02-18,2.6,1.53,91,77,832,1000,101.35
2025-02-19,2.12,1.22,96,86,818,1000,101.35
2025-02-20,2.25,2.37,107,79,814,1000,101.35
2025-02-21,5.89,4.81,135,78,787,1000,101.35
2025-02-24,3.25,4.13,136,85,779,1000,101.35
2025-02-25,4.17,2.3,138,109,753,1000,101.35
2025-02-26,3.35,1.88,121,100,779,1000,101.35
2025-02-27,2.01,3.1,121,86,793,1000,101.35
2025-02-28,-0.35,-0.11,107,115,778,1000,101.35
2025-03-03,-3.4,-2.27,85,118,797,1000,101.35
2025-03-04,-4.28,-3.03,78,121,801,1000,101.35
2025-03-05,3.36,2.01,120,89,791,1000,101.35
2025-03-06,6.67,5.84,135,53,812,1000,101.35
2025-03-07,6.17,6.29,138,55,807,1000,101.35
2025-03-10,5.24,6.14,135,57,808,1000,101.35
2025-03-11,-0.09,0.53,95,91,814,1000,101.35
2025-03-12,7.29,7.34,129,37,834,1000,101.35
2025-03-13,-3.27,-1.41,83,116,801,1000,101.35
2025-03-14,0.74,1.73,100,91,809,1000,101.35
2025-03-17,5.35,6.65,121,39,840,1000,101.35
2025-03-18,5.59,6.71,120,38,842,1000,101.35
2025-03-19,3.47,4.01,94,51,855,1000,101.35
2025-03-20,5.21,5.39,109,48,843,1000,101.35
2025-03-21,1.01,1.96,108,98,794,1000,101.35
2025-03-24,-5.69,-3.96,80,147,773,1000,101.35
2025-03-25,-3.18,-1.91,86,125,789,1000,101.35
2025-03-26,1.12,1.63,98,83,819,1000,101.35
2025-03-27,0.07,0.36,91,97,812,1000,101.35
2025-03-28,0.78,0.15,76,76,848,1000,101.35
2025-03-31,-4.94,-4.99,74,156,770,1000,101.35
2025-04-01,0.05,0.43,97,100,803,1000,101.35
2025-04-02,-1.56,0.39,80,86,834,1000,101.35
2025-04-03,-4.66,-2.09,81,117,802,1000,101.35
2025-04-07,-36.78,-38.6,59,568,373,1000,101.35
2025-04-08,-27.11,-29.05,111,500,389,1000,101.35
2025-04-09,-33.99,-34.59,101,567,332,1000,101.35
2025-04-10,-5.18,-6.88,180,245,575,1000,101.35
2025-04-11,-9.05,-9.23,139,241,620,1000,101.35
2025-04-14,-1.91,-1.09,149,146,705,1000,101.35
2025-04-15,-2.41,-2.76,126,153,721,1000,101.35
2025-04-16,-12.04,-12.39,93,253,654,1000,101.35
2025-04-17,-10.45,-9.45,89,217,694,1000,101.35
2025-04-18,-11.07,-9.84,60,192,748,1000,101.35
2025-04-21,-1.17,-1.44,127,142,731,1000,101.35
2025-04-22,7.06,5.53,141,63,796,1000,101.35
2025-04-23,8.67,7.83,161,46,793,1000,101.35
2025-04-24,-0.93,-0.09,101,105,794,1000,101.35
2025-04-25,-0.89,-0.55,87,96,817,1000,101.35
2025-04-28,-4.95,-6.66,68,155,777,1000,101.35
2025-04-29,-7.23,-8.33,64,170,766,1000,101.35
2025-04-30,0.72,-0.33,110,110,780,1000,101.35
2025-05-06,6.78,5.52,138,57,805,1000,101.35
2025-05-07,10.85,10.32,187,37,776,1000,101.35
2025-05-08,5.35,5.61,124,43,833,1000,101.35
2025-05-09,3.7,4.29,107,48,845,1000,101.35
2025-05-12,2.17,2.41,84,55,861,1000,101.35
2025-05-13,4.79,5.15,103,35,862,1000,101.35
2025-05-14,3.73,4.02,91,38,871,1000,101.35
2025-05-15,3.23,3.52,84,44,872,1000,101.35
2025-05-16,0.06,0.45,66,66,868,1000,101.35
2025-05-19,-0.63,0.28,68,73,859,1000,101.35
2025-05-20,3.48,3.95,89,41,870,1000,101.35
2025-05-21,3.9,4.12,80,31,889,1000,101.35
2025-05-22,1.71,1.77,85,68,847,1000,101.35
2025-05-23,0.09,0.08,95,101,804,1000,101.35
2025-05-26,-5.04,-5.47,51,128,821,1000,101.35
2025-05-27,-5.13,-5.38,50,123,827,1000,101.35
2025-05-28,-4.36,-4.28,58,118,824,1000,101.35
2025-05-29,0.36,-1.03,75,92,833,1000,101.35
2025-05-30,1.53,0.77,81,79,840,1000,101.35
2025-06-03,-1.29,-2.37,89,128,783,1000,101.35
2025-06-04,2.15,2.69,100,71,829,1000,101.35
2025-06-05,5.57,5.31,110,47,843,1000,101.35
2025-06-06,6.0,4.81,101,40,859,1000,101.35
2025-06-09,5.85,5.36,101,33,866,1000,101.35
2025-06-10,4.28,4.1,108,59,833,1000,101.35
2025-06-11,4.47,4.18,86,35,879,1000,101.35
2025-06-12,7.5,5.96,108,36,856,1000,101.35
2025-06-13,4.76,1.85,106,88,806,1000,101.35
2025-06-16,1.55,-0.45,84,96,820,1000,101.35
2025-06-17,1.58,-0.23,77,85,838,1000,101.35
